"alpha_0","alpha_7","alpha_14","alpha_21","alpha_28","alpha_35","alpha_42","alpha_49","alpha_56","alpha_63","alpha_70","alpha_77","alpha_84","alpha_91","alpha_98","alpha_105","alpha_112","alpha_119","elu_0","elu_30","elu_60","elu_90","elu_120","elu_150","elu_180","elu_210","elu_240","elu_270","elu_300","elu_330","elu_360","elu_390","cdc15_10","cdc15_30","cdc15_50","cdc15_70","cdc15_90","cdc15_110","cdc15_130","cdc15_150","cdc15_170","cdc15_190","cdc15_210","cdc15_230","cdc15_250","cdc15_270","cdc15_290","spo_0","spo_2","spo_5","spo_7","spo_9","spo_11","spo5_2","spo5_7","spo5_11","spo__early","spo__mid","heat_0","heat_10","heat_20","heat_40","heat_80","heat_160","dtt_15","dtt_30","dtt_60","dtt_120","cold_0","cold_20","cold_40","cold_160","diau_540","diau_660","diau_780","diau_900","diau_1020","diau_1140","diau_1260","class"
0.15,-0.03,0.01,0.01,-0.06,,0.28,-0.15,-0.12,-0.07,-0.3,-0.17,-0.03,-0.49,-0.22,-0.15,0.03,-0.18,0.33,-0.18,-0.29,-0.4,-0.3,-0.2,-0.49,-0.23,-0.15,-0.56,-0.06,-0.15,-0.23,-0.29,-0.56,-0.38,0.03,-0.32,-0.04,-1.06,-0.42,-0.49,-0.07,-0.14,-0.23,-0.51,-0.86,0.16,0.6,-0.15,0.2,0.3,0.34,-0.22,-0.4,-0.12,-0.15,-1.06,0.57,1.06,0.06,-0.45,0.1,0.16,-0.42,-0.69,0.32,0.82,,-0.54,-0.32,0.67,-0.34,-0.43,-0.25,-0.09,0.31,-0.06,-0.06,1.23,,GO0004663@GO0005968@GO0018348
0.04,0.1,-0.4,-0.18,-0.79,0.18,-0.4,0.21,0.16,-0.45,-0.29,-0.22,-0.2,-0.45,-0.3,0.23,,0.04,0.99,0.14,0.37,0.34,0.03,-0.22,-0.12,-0.25,-0.43,-0.49,0.14,-0.49,-0.27,-0.34,0.04,-0.29,-0.29,-0.56,-0.62,0.23,0.15,-0.36,-0.42,-0.18,0.7,0.79,1.38,1.24,1.82,0.25,0.15,0.2,,0.14,0.11,0.1,0.06,-0.23,0.1,0.56,-0.54,-0.3,-0.62,-0.81,-0.36,-0.1,-0.14,1.22,-0.25,-0.06,-0.45,0.33,0.44,0.29,0.16,0.66,0.38,0.25,0.15,1.49,1.21,GO0008301@GO0003714@GO0005634@GO0007535@GO0007532@GO0006357
,0.25,0.29,-0.01,-0.23,0.11,-0.45,0.1,0.25,-0.18,0.01,0.06,-0.01,-0.01,-0.27,0.16,-0.18,-0.04,0.99,0.08,0.15,-0.06,-0.58,-0.47,-0.15,-0.17,-0.32,-0.25,0.24,-0.06,0.26,-0.1,-0.36,-0.14,-0.27,-0.45,-0.64,-0.15,-0.67,-0.42,-0.62,-0.34,-0.45,0.43,0.39,0.31,0.62,-0.18,0.68,0.12,0.07,-0.12,0.28,0.58,-0.1,-0.03,0.75,0.61,-0.32,0.57,0.41,-0.03,-0.54,0.18,0.45,0.56,0.24,0.4,-0.09,0.31,0.68,0.08,-0.09,-0.3,0.07,0.08,-0.36,1.32,2.36,GO0004842@GO0005737@GO0000209@GO0006513@GO0042787@GO0045721
-0.81,,-1.03,-1.36,-1.79,-1.47,-2.25,1.31,-2,-1.03,-0.14,-0.01,-0.3,-0.58,-0.84,-0.74,-1.12,-1.29,1.09,-0.01,0.38,-0.07,-0.67,-0.67,-0.92,-0.64,-0.43,-0.6,-0.07,0.45,0.93,0.81,-0.32,1.63,0.69,-1.25,-1.74,-1.43,1.64,1.63,0.69,-0.74,-0.97,0.21,1.62,1.33,1.12,-0.36,0.06,0.29,0.37,0.93,1.25,-0.74,,0.41,1.1,1.27,0.18,0.1,0.41,-0.69,-0.71,0.04,-0.04,-0.06,-0.14,0.1,0.03,0.29,0.37,-0.12,0.07,0.15,0.26,0.34,0.4,1.46,0.88,GO0016566@GO0005634@GO0007126@GO0000122
-0.54,0.26,0.01,-0.1,0.31,-0.09,-0.54,,0.18,-0.09,0.01,-0.17,-0.07,-0.18,-0.4,0.19,-0.22,0.08,0.15,0.06,-0.06,0.11,-0.23,0.4,-0.15,-0.03,-0.6,-0.4,-0.04,-0.3,-0.42,-0.15,-0.42,-0.09,-0.18,-0.76,-0.3,-0.23,-0.27,-0.14,0.03,-0.07,0.03,0.66,0.45,-0.04,0.7,-0.04,-0.34,-0.07,0.11,0.25,0.12,-0.58,0.08,0.07,-0.03,0.21,-0.38,-0.01,0.15,-0.32,-0.27,0.15,-0.18,-0.07,-0.3,-0.56,-0.12,0.33,0.15,0.03,-0.14,0.58,0.16,-0.2,-0.06,0.82,0.29,GO0008565@GO0005743@GO0006461@GO0050821
0.3,0.12,0.39,0.23,0.03,0.08,0.04,0.14,0.01,0.11,-0.01,0.23,0.21,-0.29,0.08,-0.04,0.32,-0.03,0.63,0.06,0.01,-0.3,-0.34,-0.42,-0.49,-0.43,-0.22,-0.12,-0.15,-0.04,-0.23,-0.06,-0.22,0.06,0.15,-0.23,-0.04,-0.03,0.23,-0.01,,-0.15,-0.1,0.29,0.46,0.33,0.34,-0.22,0.03,-0.25,0.14,0.2,-0.12,0.26,0.12,-0.38,-0.22,-0.2,-0.17,-0.09,0.08,-0.69,-0.4,-0.38,0.15,,,0.21,-0.1,0.08,0.29,-0.04,0.03,0.18,0.36,0.1,0.07,0.52,0.39,GO0051082@GO0000139@GO0005829@GO0019898@GO0006461@GO0007033@GO0006896@GO0018987
-0.04,-0.54,-0.1,-0.4,-0.01,-0.3,0.06,-0.43,-0.18,-0.36,-0.1,-0.27,,-0.29,-0.12,-0.3,,-0.14,0.01,-0.25,-0.6,-0.01,-0.04,0.08,-0.17,0.19,0.18,-0.1,-0.34,-0.03,-0.01,-0.2,0.04,0.28,0.28,-0.04,-0.14,-0.06,0.19,0.1,0.11,-0.09,0.06,0.29,0.36,0.3,0.36,0.04,0.6,,,0.01,-0.09,0.38,0.26,0.1,0.41,-0.56,-0.25,-0.84,-0.4,-0.47,-0.81,,-0.15,0.26,-0.25,-0.18,-0.06,0.1,,-0.17,-0.12,0.26,0.53,-0.12,0.16,0.51,0.1,GO0004406@GO0016251@GO0000119@GO0033100@GO0005669@GO0005674@GO0016514@GO0031011@GO0016573@GO0006338@GO0006367@GO0000114
0.69,0.06,,0.07,0.16,-0.12,0.32,0.21,0.52,0.19,0.24,0.26,0.32,0.28,0.31,0.21,0.16,0.07,0.57,0.68,0.14,0.28,0.24,,0.04,-0.15,-0.32,-0.34,-0.14,-0.14,-0.38,-0.4,0.56,0.55,0.38,0.12,0.26,0.21,0.04,-0.1,-0.17,0.06,0.4,-0.01,-1.15,0.03,0.28,-0.32,-0.22,-0.71,-0.32,-0.2,-0.92,0.4,0.01,-0.2,-0.2,-0.42,-0.06,-1.36,-0.79,-0.97,-1,-0.14,0.23,0.33,-0.62,-0.23,-0.17,0.14,-0.1,-1.25,0.01,0.1,0.46,0.07,0.65,1.01,0.37,GO0004590@GO0005829@GO0006207
0.06,-0.86,-0.07,-0.1,-0.36,0.01,-0.3,-0.07,-0.03,-0.54,0.11,-0.2,-0.03,-0.15,,-0.03,-0.23,-0.3,0.19,0.01,0.49,0.6,0.32,0.42,0.34,0.46,0.08,0.18,0.36,0.23,0.21,0.23,0.04,0.31,0.39,0.2,-0.54,0.26,0.39,0.5,0.56,0.33,0.54,0.53,0.63,0.53,0.95,0.1,0.84,0.14,-0.29,-0.51,-0.47,0.57,-0.27,-0.67,0.36,-0.32,-0.09,-0.62,-0.81,-1.22,-1.03,-0.38,0.29,0.57,-0.29,-0.4,0.01,0.62,-0.2,-0.23,0.24,-0.34,0.3,0.14,0.06,0.29,-0.07,GO0046961@GO0000221@GO0000329@GO0007035
0.01,0.04,,0.01,-0.18,0.29,0.18,0.18,-0.06,0.04,-0.34,-0.18,0.03,-0.36,-0.01,-0.34,0.23,-0.15,0.24,-0.51,-0.32,-0.47,-0.06,0.04,-0.12,0.1,-0.36,-0.17,0.26,,-0.04,-0.36,0.28,0.03,0.12,0.12,0.11,0.24,0.75,0.23,0.57,0.53,0.69,-0.42,1.11,0.72,1.04,-0.27,-0.58,-0.69,0.54,0.1,-0.43,-0.23,0.48,-0.69,-0.76,-0.67,-0.17,-0.64,-0.38,-0.51,-0.94,-0.76,-0.47,0.44,-0.56,-0.47,-0.81,0.06,-0.14,-0.22,-0.43,-0.54,0.04,-0.18,-0.2,0.69,-0.2,GO0003735@GO0005762@GO0005739@GO0006412
0.29,-0.04,0.2,-0.01,0.08,-0.18,0.16,,0.07,-0.06,-0.06,-0.15,-0.14,-0.25,-0.12,-0.25,-0.23,-0.4,0.69,-0.42,-0.17,-0.47,-0.29,-0.22,-0.23,-0.04,-0.09,-0.23,0.2,0.06,0.01,-0.1,0.38,0.26,0.06,0.21,0.19,0.43,0.76,0.9,0.82,0.43,0.65,0.28,1.34,0.92,1.19,-0.29,0.14,0.12,0.66,0.63,0.72,0.1,0.5,0.36,-0.56,-1,-0.03,-0.38,0.01,-0.38,-0.67,-0.06,-0.09,0.71,-0.1,-0.51,0.12,0.07,0.64,0.21,-0.04,0.2,0.32,0.48,0.49,1.26,0.53,GO0003735@GO0005763@GO0005739@GO0006412
0.04,0.12,0.03,0.07,-0.22,-0.09,-0.01,-0.01,-0.18,-0.07,-0.27,-0.23,-0.12,-0.58,-0.25,-0.42,0.15,-0.34,0.59,-0.17,-0.07,0.42,0.12,0.06,-0.2,0.07,-0.01,-0.04,0.16,0.15,-0.12,0.1,0.54,0.19,0.12,-0.12,-1.18,0.58,1.13,0.41,0.72,0.56,0.79,0.11,1.37,1.21,1.48,-0.27,-0.67,-0.81,-0.07,-0.32,-0.18,0.18,0.56,0.48,-0.84,-1.18,0.08,-0.07,-0.04,0.07,-0.76,-0.29,0.12,0.44,-0.12,-0.54,-0.22,0.29,0.06,0.06,-0.23,-0.06,0.26,0.21,0.36,0.81,0.04,GO0003735@GO0005762@GO0005739@GO0006412@GO0000723
-0.01,0.1,0.06,0.06,0.12,0.12,0.11,0.08,-0.09,-0.06,-0.2,-0.34,0.06,-0.38,-0.17,-0.51,-1.03,0.16,0.37,-0.58,-0.18,-0.4,0.15,0.16,0.03,0.03,-0.1,-0.09,0.26,0.16,0.04,-0.01,0.25,0.1,0.24,-0.06,0.25,0.6,1.02,1.01,0.73,0.73,0.81,,1.53,1.29,1.44,-0.47,-0.56,-0.47,0.34,0.01,-0.29,-0.22,0.37,-0.4,-0.86,-0.42,0.76,-0.45,0.04,0.12,-0.6,0.77,0.23,0.28,0.08,-0.49,-0.32,0.73,0.77,0.31,-0.18,-0.03,0.24,0.3,0.46,1.08,0.04,GO0051082@GO0005739@GO0005759@GO0006461
-0.27,0.25,0.12,0.38,-0.07,0.03,-0.3,-0.42,-0.03,0.11,-0.25,0.37,-0.04,-0.29,-0.4,0.01,-0.17,-0.18,-0.64,0.04,0.21,-0.07,-0.17,0.03,-0.04,0.36,0.18,0.39,0.23,0.26,0.55,0.24,-0.06,0.1,-0.09,0.5,-0.07,0.18,0.59,0.89,1.04,0.08,0.14,1.2,0.82,0.69,0.78,-0.22,-0.43,-0.49,-0.47,-0.54,-0.62,-0.38,-0.17,-0.56,0.01,0.31,-0.17,0.24,-0.09,0.11,-0.25,-0.67,-0.3,-0.09,-0.12,-0.4,0.06,0.12,-0.36,0.12,-0.09,-0.12,0.08,-0.12,-0.23,0.71,-0.27,GO0004823@GO0003729@GO0005739@GO0006429@GO0000372
-0.07,-0.03,-0.6,-0.4,-0.79,-0.06,-0.64,-0.34,-0.3,-0.1,-0.43,-0.45,-0.27,-0.6,-0.47,-0.23,-0.45,-0.22,1.18,-0.03,0.24,-0.14,0.38,0.14,-0.07,0.12,-0.15,-0.22,0.23,-0.23,-0.15,0.16,1.07,0.86,0.63,0.7,0.45,0.55,0.57,0.61,0.24,0.78,0.53,0.56,0.88,0.5,0.75,0.06,-0.4,-0.18,-0.23,-0.2,-0.12,-0.2,-0.18,-0.51,-0.47,0.25,-0.2,-0.6,-0.23,-0.62,-0.49,-0.06,0.11,0.06,-0.12,0.01,-0.62,0.4,0.14,0.3,-0.29,-0.43,0.08,-0.29,-0.49,0.74,-0.22,GO0003674@GO0005634@GO0006511@GO0007059
0.28,-0.1,0.1,-0.54,-0.03,0.14,-0.22,0.04,0.08,0.04,,-0.25,-0.27,-0.49,0.12,-0.04,,-0.23,-0.43,-0.34,-0.79,0.08,-0.1,-0.58,-0.79,-0.14,0.01,-0.06,-0.29,0.03,0.25,-0.2,1.49,1.08,0.51,0.6,0.58,0.94,1.09,1.26,0.61,0.71,0.86,1.08,1.26,1.03,1.17,-0.03,-0.38,-0.58,-0.34,-0.49,-0.29,-0.04,0.18,0.18,-1.69,-1.32,0.29,0.06,0.16,0.57,0.16,-0.03,-0.56,-0.38,-0.58,-0.69,0.14,0.6,-0.01,0.21,-0.17,-0.1,0.06,-0.36,0.11,-0.14,-0.51,GO0004408@GO0005758@GO0005739@GO0018063
-0.12,-0.22,-0.25,-0.25,-0.07,-0.38,0.24,-0.2,-0.1,-0.04,-0.32,-0.17,0.03,-0.36,-0.1,-0.25,-0.04,-0.14,-0.23,-0.42,-0.42,-0.56,-0.3,-0.54,-0.49,-0.45,-0.23,-0.29,-0.2,-0.07,-0.27,0.07,-0.45,-0.22,0.08,-0.14,-0.04,-0.4,0.07,0.19,0.14,-0.07,-0.1,-0.07,-0.22,-0.1,-0.17,-0.36,-0.29,-0.12,0.28,0.14,-0.17,0.01,0.03,-0.38,-0.14,-0.22,-0.2,0.18,0.08,-0.29,-0.32,-0.71,-0.18,0.29,-0.54,-0.06,-0.81,0.12,-0.36,0.86,-0.14,-0.03,0.28,-0.14,-0.15,0.77,-0.15,GO0005485@GO0005486@GO0005769@GO0000138@GO0005802@GO0006906
-0.34,-0.25,-0.38,-0.36,-0.54,,-0.92,-0.51,-0.67,-1.09,-0.43,-1.03,-0.17,-0.32,-0.18,-0.45,-0.86,-1.03,4.04,2.02,-0.36,-0.56,-1.09,-1.15,-0.97,-0.97,-1.03,-1.12,-0.92,-0.71,-0.23,-0.56,-0.3,0.62,0.82,0.19,0.04,0.42,1.58,1.62,1.25,2.03,1.76,1.17,2.66,2.37,2.77,-0.32,-0.32,-0.42,0.77,1,0.63,0.18,1.41,0.84,-0.25,0.77,0.01,-0.27,-1.09,-1.03,-0.64,-0.2,-0.03,1.09,-1.09,-1.09,-0.01,0.64,0.32,0.4,-0.06,-0.43,-0.23,-0.81,-0.4,-0.47,0.95,GO0005507@GO0005829@GO0046688
-0.54,-1.09,-0.74,-0.56,,-0.38,0.12,-0.32,-0.2,-0.54,-0.51,-0.51,-0.14,-0.45,-0.12,-0.23,-0.12,0.01,0.06,-0.6,-0.4,-0.49,-0.32,-0.12,-0.22,-0.25,-0.25,-0.1,-0.25,-0.18,-0.1,-0.42,0.58,1.55,-0.56,-1.36,-1.6,-0.76,1.33,0.58,-0.47,-1.25,-1.06,0.77,1.17,0.83,0.26,-0.42,-0.43,-0.2,-0.09,0.23,0.25,-0.3,-0.22,0.24,-0.81,-0.1,-0.49,-0.22,-0.14,-0.36,0.45,0.23,-0.45,-0.76,-0.29,-0.3,0.08,-0.2,-0.62,-0.86,0.11,0.23,0.65,0.08,0.28,0.59,0.31,GO0003674@GO0005783@GO0006888
-0.74,-0.51,-0.47,-0.09,0.12,0.1,0.15,-0.34,-0.47,-0.38,-0.38,-0.49,-0.03,-0.51,-0.12,-0.54,0.2,-0.79,-0.76,-0.1,0.21,0.39,0.41,0.42,0.39,0.73,0.49,0.44,0.43,0.58,0.36,0.2,-1.18,-1.51,-0.62,0.63,1.21,1.1,1.05,0.96,0.54,1.09,1.31,1.43,1.42,1.26,1.57,-0.56,0.7,0.82,0.76,0.72,0.12,0.04,0.11,-0.71,-0.89,-1.22,-0.18,-0.3,,0.31,0.86,0.26,0.2,-0.1,-0.01,-0.2,-0.2,0.16,-0.27,-1.06,-0.14,-0.22,-0.01,-0.09,0.31,1.18,1.75,GO0009055@GO0005758@GO0005739@GO0006118
-0.42,-0.74,-0.29,-0.64,-0.23,-0.17,-0.14,-0.56,-0.42,-0.42,-0.4,-0.74,-0.43,-0.86,-0.32,-0.51,-0.27,-0.56,0.56,-0.22,-0.18,-0.29,-0.32,-0.42,-0.17,0.03,-0.1,-0.34,-0.49,-0.09,-0.03,-0.12,3.51,2.92,2.98,1.8,2.04,2.36,1.48,1.5,1.57,1.83,1.72,1.26,1.2,1.12,1.25,-0.27,0.82,0.08,-0.32,-0.84,-0.69,0.46,-0.79,-1,0.42,0.1,-0.12,-0.12,0.08,0.19,-0.04,-0.15,0.03,-0.25,-0.09,-0.14,0.08,0.04,-0.18,-0.67,-0.09,-0.2,0.57,-0.09,0.31,0.76,0.74,GO0004693@GO0005634@GO0005977@GO0006468@GO0007049@GO0000723@GO0042493
0.38,0.15,0.73,0.26,0.55,0.61,0.49,0.57,0.66,0.36,0.9,0.69,0.32,0.51,0.77,0.53,0.53,-0.06,1.01,0.12,0.16,0.24,0.39,,0.26,0.39,0.29,-0.07,-0.18,0.2,0.04,0.07,0.6,0.45,0.53,0.77,1.08,0.43,0.76,0.64,0.31,0.49,0.5,0.37,-0.01,-0.25,-0.22,-0.36,-0.79,-1.22,0.42,0.43,0.32,0.42,1.29,0.25,-1.56,-2.56,0.34,0.42,0.11,-0.07,0.19,0.08,-2,-0.97,-0.42,0.46,0.14,-0.04,0.41,0.06,0.16,0.49,0.64,0.46,0.46,0.72,-0.12,GO0003700@GO0003704@GO0005634@GO0006644@GO0006990
-0.04,-0.27,0.11,-0.2,0.11,,0.7,0.23,0.06,0.04,0.1,-0.06,0.01,-0.03,0.54,0.28,0.48,0.03,-0.47,-0.67,-1.06,-0.62,-0.67,-0.47,-0.14,-0.18,0.16,-0.06,-0.47,0.16,0.06,-0.2,-0.4,-0.71,-0.29,0.36,0.39,0.06,-0.1,-0.12,0.06,0.31,0.04,-0.29,-0.29,-0.12,-0.1,-0.34,-0.6,-0.27,0.52,0.51,0.25,-0.23,0.46,0.55,-0.49,-1.09,-0.07,0.53,0.06,0.34,0.19,-0.47,-0.06,-0.45,0.67,0.07,0.16,-0.15,-0.51,0.61,0.1,0.03,0.07,0.01,-0.03,-0.3,-0.71,GO0046961@GO0000220@GO0005770@GO0005794@GO0007035
-0.22,0.57,-0.64,-1.03,-0.1,0.37,0.95,-0.2,-0.2,-0.18,-0.12,-0.29,-0.42,-0.42,0.25,0.26,0.06,-0.14,-1.47,-0.17,-0.14,0.38,0.18,0.36,-0.43,0.34,0.29,0.53,-0.03,0.23,0.45,0.15,-1.12,-1.29,0.25,-0.01,-0.62,-0.76,-0.06,0.53,0.03,-1.29,-0.69,-0.97,-0.18,-0.3,-0.43,-0.09,-1.51,-0.97,0.57,0.25,0.36,-1.29,0.88,1.05,-2.12,-0.12,0.23,0.48,0.2,0.58,0.64,0.32,-0.81,-1.18,-0.54,0.26,-0.17,0.06,0.21,-0.15,0.19,0.12,0.1,-0.36,-0.67,-0.47,-0.84,GO0000102@GO0005887@GO0000101
-0.03,0.44,0.3,-0.1,0.06,0.52,0.23,0.06,0.2,0.33,0.57,0.11,,-0.01,0.26,0.38,-0.03,0.2,-0.67,-0.09,-0.07,-0.15,-0.12,0.31,0.31,0.82,0.49,0.77,0.19,0.38,0.32,0.29,-0.09,0.31,-0.1,-0.14,-0.25,-0.15,-0.49,0.18,-0.09,-0.15,-0.29,0.58,-1.09,-0.36,-1.09,-0.18,-1.09,-0.27,0.3,0.38,0.4,-0.92,0.48,0.48,-1.25,-1.25,0.11,-0.56,-0.6,-0.42,-0.18,0.11,-0.51,-1,-0.01,-0.3,-0.06,0.96,-0.23,0.31,-0.17,0.16,0.53,0.29,-0.22,-0.22,-0.6,GO0015171@GO0005739@GO0005886@GO0006865
0.04,-0.4,0.01,-0.2,0.19,0.12,0.26,-0.17,-0.14,-0.27,-0.04,-0.01,0.24,-0.12,0.19,-0.17,0.12,-0.14,,-0.12,-0.3,-0.4,-0.01,0.07,0.11,-0.07,-0.03,-0.18,-0.17,-0.14,-0.18,-0.3,-0.04,-0.12,-0.07,-0.62,-0.6,-0.32,0.28,0.75,-0.36,-1.22,-0.56,,-0.56,-0.07,-0.36,-0.42,-0.36,0.29,1.01,1.08,0.2,-0.74,-0.01,0.12,-1.29,-1.22,0.21,-0.04,0.43,-0.67,0.03,-0.32,-0.36,-0.84,-0.4,-0.58,0.19,0.51,0.32,0.66,0.31,0.34,0.3,-0.2,-0.4,0.15,-0.03,GO0015174@GO0005739@GO0005886@GO0015802
-0.4,-0.23,0.23,-0.01,0.18,-0.32,0.01,-0.47,-0.27,-0.29,-0.14,-0.12,0.18,-0.25,0.07,-0.29,0.15,-0.36,-1.22,-0.54,-0.62,-0.42,-0.27,0.33,0.14,0.31,0.01,0.04,0.03,0.33,-0.1,-0.04,-0.42,0.12,0.32,0.03,-0.1,-0.56,-0.07,0.23,0.12,-0.32,-0.47,-0.25,-0.4,-0.2,-0.36,-0.3,-0.92,0.1,1.15,0.73,0.61,-1.09,0.62,0.1,-0.62,-0.18,-0.06,0.42,-0.12,-0.79,-0.3,-0.29,0.28,-0.58,-0.32,-0.36,-0.36,0.03,-0.25,0.32,0.08,0.31,0.3,-0.03,-0.03,0.24,-0.42,GO0004609@GO0005739@GO0005743@GO0006656
-0.12,-1.03,-0.17,-0.32,,-0.47,0.19,-0.42,-0.03,-0.04,-0.27,-0.38,-0.04,-0.58,-0.32,-0.54,-0.15,-0.36,0.01,-0.12,-0.22,-0.09,-0.29,-0.47,-0.07,0.15,0.25,0.24,0.3,0.33,0.44,0.48,0.12,0.06,0.07,0.14,0.28,0.24,0.31,0.01,-0.25,0.14,0.29,0.43,0.32,0.2,0.32,-0.01,0.39,,1.08,0.69,-0.49,0.4,-0.06,0.1,0.3,-0.67,-0.09,-0.4,-0.27,-0.27,-0.15,-0.51,0.25,-0.69,0.07,0.23,-0.36,-0.3,-0.79,-1.12,-1.09,-0.67,-0.06,-0.64,-0.09,0.32,-0.27,GO0003755@GO0003711@GO0005634@GO0006369@GO0006397@GO0000122@GO0042326
-1.89,-1.47,-0.22,-0.76,-0.27,-0.94,-0.2,-0.84,-0.38,-0.34,0.18,0.06,0.44,-0.4,-0.07,-0.69,-0.14,-0.43,-1.69,-0.74,-0.81,-0.94,-0.45,-0.54,-0.27,0.31,0.31,-0.04,-0.04,0.45,0.54,0.66,-0.03,0.28,-0.14,0.11,-0.86,-0.03,0.06,0.54,-0.04,-0.74,0.06,0.36,-1.15,-0.18,-0.6,-0.42,0.43,,0.94,0.55,0.41,0.41,0.45,-0.12,0.15,-0.27,-0.07,0.34,0.16,-0.71,0.79,-0.6,0.07,-1.36,-0.54,,-1.06,-0.92,0.29,-1.56,-0.07,-0.23,0.31,0.11,0.42,-0.34,-1.29,GO0009922@GO0016020@GO0019368
-0.03,0.04,0.23,0.25,,0.31,0.06,0.18,0.07,0.4,0.4,0.15,-0.01,0.06,0.08,0.37,0.15,0.24,0.2,0.49,-0.25,0.48,0.43,0.82,0.69,0.64,0.46,0.69,0.19,0.3,0.26,0.71,-0.25,-0.29,-0.14,0.19,0.23,0.01,-0.03,0.15,-0.04,0.16,0.1,-0.01,-0.42,-0.32,-0.15,0.2,0.77,0.26,0.61,0.67,0.6,0.5,0.8,0.19,0.37,-0.15,0.52,0.49,,0.01,0.67,0.31,0.42,-1.94,0.38,0.07,0.6,0.59,-0.71,0.06,-0.06,0.25,-0.18,-0.49,-0.62,-0.64,-1.22,GO0003984@GO0030234@GO0005948@GO0005739@GO0042645@GO0009082
0.03,-0.06,-0.04,0.12,0.08,0.07,,0.32,0.45,-0.07,0.39,-0.01,0.33,0.12,0.43,0.29,0.07,-0.14,-0.03,,0.38,0.31,0.06,0.23,0.63,0.2,0.18,0.15,0.39,0.2,0.23,-0.01,-0.45,-0.54,-0.45,0.18,0.39,0.31,0.18,0.31,0.15,0.11,0.45,0.77,-0.07,-0.34,-0.17,-0.06,0.51,-0.12,0.31,0.54,0.82,0.52,0.68,0.6,-0.64,-0.86,0.49,0.1,-0.38,-0.6,-0.07,-0.14,0.53,-0.64,-0.15,-0.2,0.33,-0.34,-0.1,,0.03,0.11,0.58,0.34,0.31,0.08,-0.51,GO0015078@GO0000220@GO0007033@GO0006897@GO0006878@GO0006879@GO0007035@GO0015992@GO0006623
0.16,-0.04,-0.04,0.29,0.18,0.3,0.62,0.44,0.71,0.3,0.42,0.29,0.29,-0.03,0.37,0.28,0.01,0.18,-0.42,0.23,0.33,0.26,0.11,,0.25,0.21,0.49,0.46,0.3,0.76,0.65,0.62,-1.15,-1.36,-1.03,-0.29,0.15,0.21,0.01,0.01,-0.2,-0.03,0.18,-0.81,0.03,-0.12,0.19,-0.1,1.06,0.18,0.78,0.43,0.62,0.55,0.45,0.41,0.42,-0.71,0.33,0.03,0.56,0.91,-0.01,0.15,0.24,-0.2,0.56,0.39,0.34,-0.01,-0.1,-0.69,0.29,0.44,0.91,0.21,0.11,0.01,0.21,GO0004069@GO0005777@GO0005737@GO0019266@GO0006532@GO0006533@GO0006536
0.71,0.25,0.68,0.33,0.48,0.32,0.67,0.25,0.34,0.3,0.25,0.04,0.37,-0.29,0.31,0.25,0.31,0.44,1.2,0.97,0.69,0.68,-0.17,-0.47,-0.43,-0.15,0.04,-0.14,-0.34,0.14,0.5,0.4,-0.22,-0.4,-0.01,0.15,0.14,0.04,0.14,0.12,-0.01,0.06,-0.01,0.42,0.01,-0.12,,0.31,0.08,-0.4,-0.42,0.34,0.99,0.3,0.06,1.11,-0.45,-0.92,0.45,0.59,0.33,0.28,-0.14,0.58,-0.14,-0.94,0.1,0.15,0.56,-0.27,0.9,0.2,0.57,0.51,0.88,0.53,0.39,0.4,1.24,GO0004177@GO0000324@GO0007039@GO0000723
-0.22,-0.69,0.06,-0.2,0.26,-0.18,0.07,-0.23,-0.12,-0.29,-0.18,-0.22,0.1,-0.03,0.03,-0.23,-0.07,-0.25,-0.97,-0.58,-0.54,-0.38,-0.15,-0.09,-0.18,0.25,0.42,0.56,-0.32,0.53,0.31,0.06,-0.42,-0.71,-0.38,-0.09,-0.15,-0.47,-0.12,-0.09,-0.29,-0.12,-0.12,-1.47,-0.18,-0.25,-0.32,-0.15,-0.49,-0.69,-0.94,-0.42,-1.09,0.3,-0.04,-0.42,-0.06,-0.45,0.15,0.38,0.41,0.23,0.38,0.15,0.8,-0.12,0.32,0.55,0.69,,2.17,0.68,-0.1,-0.14,-0.09,-0.45,-0.04,-0.29,-0.36,GO0005515@GO0030126@GO0006888@GO0006890
-0.15,0.25,0.18,-0.1,-0.15,-0.06,0.12,0.16,-0.12,0.2,-0.22,-0.25,-0.1,-0.17,-0.27,-0.14,-0.2,0.04,0.7,0.37,-0.64,-0.18,0.07,-0.01,-0.06,0.28,-0.09,0.1,-0.03,0.07,0.18,0.29,-0.62,-0.42,-0.4,-0.18,-0.03,-0.23,0.18,0.14,-0.03,-0.09,-0.06,-0.45,0.3,0.16,0.23,-0.3,-0.22,-0.29,-0.56,-0.3,-0.01,0.34,-0.1,0.11,-0.25,-0.27,0.18,0.57,1.19,0.21,-0.17,0.66,0.12,-0.45,0.12,0.61,0.34,0.16,0.96,0.78,-0.06,-0.12,0.03,0.08,0.28,0.01,-0.58,GO0000030@GO0005794@GO0006487
