chip_affymetrix_chip,pp_number_of_probe_pairs,a_fy4_a,alpha_fy5_alpha,gal_gal,heat_heat,rel_alpha_fy5_alpha,rel_gal_gal,rel_heat_heat,avg_abund,median_deviation_of_log_fc_gal,sig_gal,sig_and_fc_gal,median_deviation_of_log_fc_fy5_alpha,sig_fy5_alpha,sig_and_fc_fy5_alpha,median_deviation_of_log_fc_heat,sig_heat,sig_and_fc_heat,thrshld_1=below_detection_fy4_a,thrshld_1=below_detection_fy5_alpha,thrshld_1=below_detection_gal,thrshld_1=below_detection_heat,thrshld_gal,thrshld_fy5_alpha,thrshld_heat,below_threshold_in_all_conditions,class
2,20,0.4,0.32,0.34,0.53,0,0,0.03,0.39,0.13,0,0,0.26,0,0,0.2,0.15,0,1,,,,5,4,2,0,GO0003924@GO0005773@GO0005741@GO0000011@GO0042144@GO0000723@GO0006897@GO0006896
2,20,0.4,0.37,0.29,0.36,0,0,0,0.34,0.13,0,0,0.33,0,0,0.17,0,0,1,,,,5,4,4,0,GO0003755@GO0005730@GO0051598
2,20,0.4,0.15,0.3,0.43,0,0,0,0.3,0.13,0,0,0.44,0,0,0.17,0,0,1,,1,,5,4,4,0,GO0003674@GO0005740@GO0005739@GO0005743@GO0005759@GO0019898@GO0016021@GO0009060@GO0017148
2,20,0.4,0.18,0.3,0.2,0,0,0,0.26,0.13,0,0,0.41,0,0,0.17,0,0,1,,1,1,5,4,5,0,GO0003674@GO0005737@GO0008150
2,20,0.4,0.17,0.3,0.2,0,0,0,0.26,0.13,0,0,0.34,0,0,0.17,0,0,1,,1,1,5,4,5,0,GO0000249@GO0005783@GO0006696
2,20,0.4,0.22,0.3,0.31,0,0,0,0.29,0.13,0,0,0.29,0,0,0.17,0,0,1,,1,,5,4,5,0,GO0004244@GO0042720@GO0006627
2,20,0.4,0.26,0.3,0.29,0,0,0,0.29,0.13,0,0,0.24,0,0,0.14,0,0,1,,1,,5,4,4,0,GO0008301@GO0005739@GO0000262@GO0042645@GO0000002@GO0000001
2,20,0.4,0.11,0.3,0.2,0,0,0,0.24,0.13,0,0,0.5,0,0,0.17,0,0,1,,1,1,5,4,5,0,GO0005286@GO0000329@GO0015802
2,20,0.4,0.16,0.3,0.2,0,0,0,0.25,0.13,0,0,0.37,0,0,0.17,0,0,1,,1,1,5,4,5,0,GO0003674@GO0005730@GO0042254
2,20,0.4,0.13,0.3,0.3,0,0,0,0.25,0.13,0,0,0.46,0,0,0.17,0,0,1,,1,1,5,4,5,0,GO0003924@GO0016887@GO0005737@GO0006281
2,21,0.4,0.11,0.3,0.2,0,0,0,0.24,0.13,0,0,0.5,0,0,0.17,0,0,1,,1,1,5,4,5,0,GO0003674@GO0005739@GO0016021@GO0006879
3,21,0.1,0.1,0.2,0.16,0,-0.07,0.03,0.14,0.31,0.2,0,0.11,0,0,0.3,0.1,0,1,1,,,,5,,0,GO0003674@GO0005840@GO0030136@GO0006038@GO0006893
3,20,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.27,0,0,1,1,1,,5,5,4,0,GO0004525@GO0005730@GO0005654@GO0006365@GO0042254
3,21,0.1,0.1,0,0.06,0,0,-0.29,0.07,0.38,0,0,0.11,0,0,0.08,3.63,1,1,1,1,,5,5,,0,GO0003723@GO0005515@GO0005686@GO0000245
3,21,0.1,0.09,0.07,0.08,0,0,0,0.09,0.29,0,0,0.11,0,0,0.24,0,0,1,,,,4,4,4,0,GO0003674@GO0005643@GO0005737@GO0006406
3,21,0.1,0.1,0.14,0.08,0,0.02,0,0.11,0.24,0.1,0,0.11,0,0,0.29,0,0,1,,,,,5,4,0,GO0004040@GO0005739@GO0009060
3,20,0.1,0.1,0.11,0.17,0,-0.09,0.1,0.12,0.28,0.3,0,0.11,0,0,0.26,0.38,0,1,1,,,,5,2,0,GO0004527@GO0005739@GO0005743@GO0006364@GO0000002
3,20,0.1,0.1,0,0.09,0,0,0,0.08,0.38,0,0,0.11,0,0,0.19,0,0,1,1,1,,5,5,4,0,GO0004450@GO0005739@GO0005777@GO0005737@GO0006102@GO0006635@GO0006740
3,20,0.1,0.1,0.15,0.17,0,0.05,0.16,0.13,0.12,0.4,0,0.11,0,0,0.15,1.07,0,1,1,,,2,5,2,0,GO0004727@GO0005737@GO0006470@GO0000754
3,20,0.1,0.11,0.08,0.08,0,0,0,0.1,0.25,0,0,0.11,0,0,0.26,0,0,1,,,,4,4,4,0,GO0003674@GO0005730@GO0042254
3,20,2.28,2.07,3.28,2.58,0,0.17,0.12,2.55,0.12,1.4,0,0.09,0,0,0.12,1,0,,,,,,,,0,GO0008106@GO0005634@GO0005737@GO0008150
3,20,0.1,0.08,0.1,0.05,0,0,0,0.07,0.35,0,0,0.11,0,0,0.35,0,0,1,,1,,5,5,4,0,GO0003702@GO0005634@GO0005829@GO0000122
3,20,0.1,0.1,0.12,0.09,0,0,0,0.1,0.22,0,0,0.11,0,0,0.27,0,0,1,1,,,4,5,4,0,GO0003674@GO0005886@GO0000750
3,20,0.1,0.1,0,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,,1,1,5,5,5,0,GO0003723@GO0005730@GO0005654@GO0042254
3,20,0.1,0.1,0.1,0.11,0,0,0,0.09,0.27,0,0,0.11,0,0,0.21,0,0,1,1,1,,5,5,4,0,GO0003700@GO0000783@GO0005634@GO0005724@GO0006348@GO0006366@GO0007004@GO0031848
3,21,0.1,0.1,0.08,0.06,0,0,0,0.08,0.3,0,0,0.11,0,0,0.33,0,0,1,1,,,4,5,4,0,GO0004725@GO0003723@GO0005847@GO0005634@GO0030846@GO0030847@GO0006365@GO0009302@GO0006367
3,21,0.1,0.1,0.06,0.09,0,0,0,0.09,0.27,0,0,0.11,0,0,0.36,0,0,1,1,,,4,5,4,0,GO0016455@GO0000119@GO0006366
3,20,0.1,0.1,0.05,0.1,0,0,0,0.07,0.36,0,0,0.11,0,0,0.34,0,0,1,1,,1,5,5,5,0,GO0004156@GO0003848@GO0004150@GO0005740@GO0005739@GO0005737@GO0009396
3,21,0.22,0.2,0.35,0.31,0,0.32,0.17,0.27,0.12,2.7,1,0.11,0,0,0.08,2.13,0,,,,,,4,,0,GO0016531@GO0005829@GO0006979@GO0006879@GO0006825
3,20,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.29,0,0,1,1,1,,5,5,4,0,GO0004414@GO0005737@GO0009086@GO0009092
3,20,0.1,0.1,0,0.11,0,0,0,0.09,0.38,0,0,0.11,0,0,0.18,0,0,1,1,1,,5,5,4,0,GO0003689@GO0005663@GO0005634@GO0006298@GO0006272@GO0007062
3,21,0.1,0.1,0.07,0,0,0,0,0.08,0.29,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0003723@GO0005847@GO0006379@GO0006378
3,20,0.1,0.1,0.13,0.13,0,0,0,0.11,0.24,0,0,0.11,0,0,0.25,0,0,1,1,,,4,5,4,0,GO0016887@GO0005777@GO0005625@GO0005737@GO0007031
3,20,0.1,0.1,0.16,0.06,0,0.11,0,0.1,0.37,0.3,0,0.11,0,0,0.37,0,0,1,1,,,2,5,5,0,GO0005515@GO0005575@GO0009228@GO0008614
3,20,1.13,0.82,1.91,1.63,0,0.2,0.08,1.37,0.12,1.7,1,0.22,0,0,0.09,0.89,0,,,,,,5,,0,GO0004108@GO0005739@GO0005759@GO0006099@GO0006101@GO0006537
3,20,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.26,0,0,1,1,1,,5,5,4,0,GO0005515@GO0032266@GO0005768@GO0006605@GO0016197@GO0045053
3,21,0.1,0.1,0,0.11,0,0,0.01,0.09,0.38,0,0,0.11,0,0,0.29,0.03,0,1,1,1,,5,5,2,0,GO0004772@GO0005783@GO0016125
3,20,0.1,0.1,0.05,0.05,0,0,0,0.07,0.34,0,0,0.11,0,0,0.37,0,0,1,1,,,4,5,4,0,GO0005085@GO0030176@GO0000299@GO0030433@GO0006888
3,20,0.1,0.09,0.08,0.08,0,0,0,0.09,0.22,0,0,0.11,0,0,0.19,0,0,1,,,,4,5,4,0,GO0003755@GO0000324@GO0008150
3,20,0.13,0.09,0.09,0.21,0,0,0.09,0.13,0.33,0,0,0.14,0,0,0.22,0.41,0,,,,,4,5,,0,GO0017057@GO0005634@GO0005737@GO0008033@GO0006409
3,20,0.18,0.18,0.18,0.21,0,0,0.1,0.19,0.25,0,0,0.11,0,0,0.16,0.63,0,,,,,4,5,2,0,GO0003735@GO0005763@GO0005739@GO0006412
3,20,0.1,0.14,0.24,0.19,0,0.14,0.14,0.17,0.14,1,0,0.11,0,0,0.16,0.88,0,1,,,,,4,2,0,GO0003674@GO0005783@GO0006829
3,20,0.1,0.1,0.08,0.1,0,0,0,0.1,0.31,0,0,0.11,0,0,0.29,0,0,1,1,,,4,5,4,0,GO0004407@GO0003713@GO0003714@GO0000508@GO0000509@GO0016580@GO0016575@GO0006303@GO0000183@GO0006348@GO0030466@GO0000723@GO0000122@GO0045944
3,21,0.1,0.1,0.11,0,0,-0.04,0,0.09,0.34,0.1,0,0.11,0,0,0.37,0,0,1,1,,1,,5,5,0,GO0003674@GO0000324@GO0005935@GO0008150
3,20,0.1,0.1,0.05,0.11,0,0,0,0.09,0.34,0,0,0.11,0,0,0.23,0.09,0,1,,,,4,4,2,0,GO0003963@GO0005730@GO0006365@GO0042254
3,21,0.15,0.1,0.17,0.3,0,0,0.17,0.18,0.2,0,0,0.11,0,0,0.13,1.31,0,,,,,,5,,0,GO0004622@GO0005576@GO0005886@GO0006660@GO0030384
3,20,0.24,0.13,0.35,0.31,0,0.12,0.03,0.26,0.1,1.2,0,0.14,0,0,0.1,0.3,0,,,,,2,5,,0,GO0004685@GO0005737@GO0006468@GO0007165
3,20,0.1,0.1,0.43,0.13,0,0.45,0,0.19,0.18,2.5,1,0.11,0,0,0.18,0,0,1,1,,,2,5,4,0,GO0000774@GO0005783@GO0006616
3,20,0.24,0.18,0.23,0.37,0,0.03,0.15,0.26,0.1,0.3,0,0.13,0,0,0.07,2.14,0,,,,,,5,,0,GO0004014@GO0005634@GO0005737@GO0006597@GO0008295@GO0015940
3,21,0.1,0.09,0.09,0.07,0,0,0,0.09,0.31,0,0,0.11,0,0,0.26,0,0,1,,,,4,5,4,0,GO0008902@GO0008972@GO0050334@GO0005829@GO0009230@GO0009228
3,20,0.1,0.1,0.07,0,0,0,0,0.08,0.33,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0008408@GO0005634@GO0005730@GO0006364@GO0042255
3,21,0.1,0.09,0.08,0.21,0,0,0.2,0.12,0.31,0,0,0.11,0,0,0.24,0.83,0,1,,,,4,4,,0,GO0005099@GO0005739@GO0005737@GO0046580@GO0006950@GO0030818@GO0032320
3,20,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.28,0,0,1,1,1,,5,5,4,0,GO0016887@GO0005524@GO0000400@GO0000403@GO0000404@GO0000406@GO0032137@GO0032138@GO0005634@GO0000228@GO0000735@GO0000710@GO0006311@GO0006312@GO0030466
3,20,0.1,0.17,0.17,0.17,0,0,0,0.16,0.27,0,0,0.11,0,0,0.21,0,0,1,,,,4,2,2,0,GO0003689@GO0017076@GO0005663@GO0006298@GO0006272@GO0007062
3,20,0.1,0.1,0.11,0.09,0,0,0,0.1,0.19,0,0,0.11,0,0,0.24,0,0,1,1,,,4,5,4,0,GO0016455@GO0000119@GO0006366
3,20,0.1,0.1,0.09,0.1,0,0,0,0.08,0.29,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0050072@GO0003729@GO0008047@GO0000932@GO0000290
3,21,0.17,0.15,0.2,0.24,0,-0.12,-0.04,0.19,0.12,1,0,0.11,0,0,0.21,0.19,0,,,,,,5,,0,GO0003674@GO0005575@GO0008150
3,20,0.1,0.1,0.07,0.1,0,-0.23,0,0.08,0.15,1.5,1,0.1,0,0,0.36,0,0,1,,,1,,4,5,0,GO0018456@GO0005575@GO0006081
3,21,0.1,0.1,0.05,0.05,0,0,0,0.07,0.38,0,0,0.11,0,0,0.33,0,0,1,1,,,5,5,4,0,GO0003674@GO0005886@GO0042493
3,21,0.3,0.21,0.41,0.89,0,0.01,0.38,0.45,0.18,0.1,0,0.11,0,0,0.11,3.45,1,,,,,2,5,,0,GO0030544@GO0051879@GO0030189@GO0030190@GO0005737@GO0006457
3,20,0.1,0.1,0.05,0.06,0,0,0,0.08,0.38,0,0,0.11,0,0,0.36,0,0,1,1,,,5,5,4,0,GO0005486@GO0005768@GO0005794@GO0006896
3,20,0.1,0.1,0.11,0.15,0,0,0,0.12,0.34,0,0,0.11,0,0,0.24,0,0,1,1,,,4,5,4,0,GO0019211@GO0005575@GO0007015@GO0000723@GO0006897@GO0006950@GO0040008
3,21,0.1,0.1,0.05,0.11,0,0,0,0.09,0.38,0,0,0.11,0,0,0.3,0,0,1,,,,5,5,4,0,GO0030295@GO0005634@GO0005886@GO0006006@GO0007165@GO0009651@GO0006357
3,20,0.1,0.1,0.1,0.1,0,0,0,0.09,0.35,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0004406@GO0035064@GO0033100@GO0016573
3,20,0.28,0.23,0.92,0.28,0,0.17,-0.02,0.43,0.22,0.8,0,0.11,0,0,0.12,0.17,0,,,,,2,5,,0,GO0045153@GO0005750@GO0005739@GO0005743@GO0005746@GO0006122@GO0006119
3,21,0.1,0.1,0.05,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0008565@GO0032266@GO0030904@GO0005768@GO0005829@GO0042147@GO0045053
3,21,0.1,0.09,0.11,0.12,0,-0.05,-0.1,0.11,0.18,0.3,0,0.11,0,0,0.27,0.37,0,1,,,,,4,,0,GO0005215@GO0016020@GO0015888
3,20,0.1,0.09,0.1,0.05,0,0,0,0.09,0.24,0,0,0.11,0,0,0.34,0,0,1,,,,4,5,4,0,GO0003924@GO0005886@GO0007189@GO0007265@GO0008283
3,20,0.1,0.1,0.06,0.07,0,0,0,0.08,0.32,0,0,0.11,0,0,0.37,0,0,1,1,,,4,5,4,0,GO0005096@GO0005634@GO0005737@GO0007188
3,21,0.1,0.1,0,0.04,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,1,,5,5,4,0,GO0003709@GO0000127@GO0006384
3,20,0.1,0.1,0.06,0.09,0,0,0,0.09,0.3,0,0,0.11,0,0,0.35,0,0,1,1,,,4,5,4,0,GO0004843@GO0005737@GO0016579
3,20,0.1,0.1,0.19,0.14,0,0.01,0,0.13,0.28,0,0,0.11,0,0,0.16,0,0,1,1,,,2,5,4,0,GO0016788@GO0005575@GO0006083
3,20,0.1,0.1,0.07,0.06,0,0,0,0.08,0.24,0,0,0.11,0,0,0.33,0,0,1,1,,,4,5,4,0,GO0043141@GO0031011@GO0005634@GO0008150
3,20,0.3,0.16,0.36,0.27,0,0.1,0.07,0.27,0.11,0.9,0,0.14,0,0,0.16,0.44,0,,,,,,5,,0,GO0003735@GO0005762@GO0005739@GO0006412@GO0000027
3,20,0.1,0.11,0.05,0.06,0,0,0,0.08,0.38,0,0,0.11,0,0,0.3,0,0,1,,,,4,4,4,0,GO0003735@GO0005763@GO0005739@GO0006412
3,21,0.1,0.09,0,0.05,0,0,0,0.07,0.38,0,0,0.11,0,0,0.33,0,0,1,,1,,5,4,4,0,GO0008139@GO0005634@GO0005737@GO0006403@GO0006609@GO0006404
3,21,0.1,0.1,0.08,0.06,0,0,0,0.08,0.31,0,0,0.11,0,0,0.28,0,0,1,1,,,4,5,4,0,GO0016455@GO0000119@GO0006366
3,20,0.1,0.1,0.09,0.15,0,0,0,0.11,0.25,0,0,0.11,0,0,0.17,0,0,1,1,,,4,5,2,0,GO0016251@GO0005672@GO0006367
3,20,0.1,0.09,0.24,0.16,0,0.18,0.06,0.15,0.17,1.1,0,0.11,0,0,0.15,0.4,0,1,,,,2,4,,0,GO0017140@GO0005739@GO0009105
3,21,0.1,0.1,0.16,0.12,0,0.09,-0.01,0.12,0.17,0.5,0,0.11,0,0,0.28,0.04,0,1,1,,,,5,,0,GO0004406@GO0000784@GO0000790@GO0006348
3,20,0.1,0.09,0,0.07,0,0,0,0.08,0.38,0,0,0.11,0,0,0.3,0,0,1,,1,,5,5,4,0,GO0003689@GO0005663@GO0006298@GO0006272
3,21,0.1,0.1,0.07,0.07,0,0,-0.2,0.08,0.3,0,0,0.11,0,0,0.17,1.18,1,1,1,,,4,5,,0,GO0004177@GO0005802@GO0007323
3,20,0.1,0.11,0.11,0.14,0,0,-0.04,0.12,0.16,0,0,0.11,0,0,0.23,0.17,0,1,,,,4,5,,0,GO0004326@GO0005739@GO0005737@GO0006730@GO0000723
3,21,0.1,0.1,0.06,0,0,0,0,0.07,0.29,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0003677@GO0005634@GO0006350
3,20,0.1,0.15,0.17,0.25,0,0,0.12,0.17,0.27,0,0,0.11,0,0,0.14,0.86,0,1,,,,4,5,2,0,GO0005084@GO0016020@GO0005737@GO0006886
3,27,0.1,0.1,0.07,0,0,0,0,0.08,0.38,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0008863@GO0005829@GO0042183@GO0006735
3,21,0.1,0.1,0.08,0.1,0,0,0,0.09,0.27,0,0,0.11,0,0,0.18,0,0,1,1,,,4,5,4,0,GO0005515@GO0000814@GO0043162@GO0000433@GO0000723@GO0006623
3,21,0.1,0.1,0,0.06,0,0,0,0.07,0.38,0,0,0.11,0,0,0.26,0,0,1,1,1,,5,5,4,0,GO0008757@GO0005737@GO0008150
3,20,0.1,0.1,0.2,0.19,0,0.07,0,0.15,0.3,0.2,0,0.11,0,0,0.25,0,0,1,1,,,2,5,4,0,GO0003674@GO0005774@GO0042144
3,20,0.1,0.1,0.05,0,0,0,0,0.07,0.37,0,0,0.11,0,0,0.37,0,0,1,1,,1,5,5,5,0,GO0004693@GO0016251@GO0005667@GO0006468@GO0000723@GO0007126@GO0000122
3,21,0.1,0.1,0.05,0.16,0,0,0,0.1,0.38,0,0,0.11,0,0,0.35,0,0,1,1,,,5,5,4,0,GO0003677@GO0008134@GO0005634@GO0000723@GO0001403
3,20,0.1,0.1,0.11,0.21,0,0,0.02,0.13,0.18,0,0,0.11,0,0,0.18,0.11,0,1,,,,4,5,2,0,GO0000030@GO0000136@GO0005801@GO0016020@GO0006487@GO0000917
3,20,0.1,0.1,0.07,0,0,0,0,0.08,0.21,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0003924@GO0005794@GO0005625@GO0042175@GO0006886@GO0043001
3,20,0.65,0.53,1.32,0.65,0,0.31,-0.05,0.79,0.12,2.6,1,0.17,0,0,0.09,0.56,0,,,,,,5,,0,GO0046933@GO0000274@GO0005739@GO0015986
3,21,0.1,0.1,0.08,0.06,0,0,0,0.08,0.24,0,0,0.11,0,0,0.29,0,0,1,1,,,4,5,4,0,GO0003674@GO0005768@GO0005624@GO0005737@GO0006511@GO0016579@GO0007584@GO0000723@GO0043328
3,21,0.1,0.11,0.07,0.06,0,-0.26,0,0.09,0.12,2.2,1,0.11,0,0,0.33,0,0,1,,,,,5,4,0,GO0004402@GO0008023@GO0005634@GO0005737@GO0006400@GO0006357
3,20,0.1,0.1,0.11,0.13,0,0,0,0.11,0.3,0,0,0.11,0,0,0.22,0,0,1,,,,4,5,4,0,GO0004831@GO0005739@GO0006437
3,20,0.1,0.15,0.18,0.25,0,0,0.08,0.18,0.24,0,0,0.11,0,0,0.2,0.4,0,1,,,,4,5,,0,GO0004452@GO0005829@GO0006696
3,20,0.1,0.1,0.13,0.1,0,0,0,0.11,0.31,0,0,0.11,0,0,0.21,0,0,1,1,,,4,5,4,0,GO0003735@GO0005763@GO0005739@GO0006412@GO0006413
3,20,0.17,0.15,0.12,0.1,0,0,0,0.14,0.18,0,0,0.11,0,0,0.17,0,0,,,,,4,5,4,0,GO0005498@GO0008142@GO0015485@GO0005546@GO0000139@GO0005737@GO0019898@GO0030469@GO0006897@GO0015918@GO0006887@GO0006892
3,20,0.16,0.11,0.15,0.25,0,-0.22,0.07,0.17,0.16,1.4,1,0.11,0,0,0.2,0.35,0,,,,,,5,2,0,GO0017056@GO0003723@GO0005515@GO0005643@GO0005737@GO0006406
3,20,0.1,0.1,0.09,0.09,0,0,0,0.09,0.25,0,0,0.11,0,0,0.17,0,0,1,1,,,4,5,4,0,GO0008194@GO0000506@GO0005783@GO0006506
3,21,0.18,0.14,0.18,0.34,0,-0.01,0.1,0.21,0.13,0.1,0,0.11,0,0,0.11,0.91,0,,,,,,5,2,0,GO0004691@GO0005952@GO0005737@GO0006468@GO0007265@GO0007124
3,21,0.1,0.1,0.16,0.11,0,0.15,-0.17,0.12,0.24,0.6,0,0.11,0,0,0.21,0.81,0,1,,,,,5,,0,GO0003674@GO0005740@GO0005739@GO0006461
3,21,0.1,0.13,0.07,0.09,0,-0.19,0,0.1,0.19,1,0,0.11,0,0,0.37,0,0,1,,,,,5,4,0,GO0016887@GO0005524@GO0005739@GO0005737@GO0042254
3,20,0.1,0.1,0.09,0.11,0,0,0,0.1,0.29,0,0,0.11,0,0,0.29,0,0,1,1,,,4,5,4,0,GO0003674@GO0005575@GO0008150
3,20,0.1,0.11,0.09,0.06,0,0,0,0.09,0.26,0,0,0.11,0,0,0.26,0,0,1,,,,4,5,4,0,GO0030276@GO0030121@GO0006896
3,24,0.1,0.1,0.07,0,0,0,0,0.08,0.38,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0008863@GO0005575@GO0042183
3,20,0.1,0.1,0.06,0,0,0,0,0.07,0.35,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0008863@GO0005575@GO0042183
3,21,0.1,0.1,0.07,0.09,0,-0.19,-0.1,0.09,0.19,1,0,0.11,0,0,0.19,0.53,0,1,1,,,,5,,0,GO0003704@GO0005634@GO0006367
3,21,0.1,0.15,0.14,0.14,0,0,-0.01,0.14,0.1,0,0,0.11,0,0,0.22,0.05,0,1,,,,4,5,,0,GO0003704@GO0005634@GO0015918@GO0006357
3,21,0.1,0.1,0.06,0,0,0,0,0.07,0.38,0,0,0.11,0,0,0.37,0,0,1,1,,1,4,5,5,0,GO0004003@GO0003682@GO0005656@GO0042555@GO0005634@GO0005737@GO0006267@GO0006270@GO0006268
3,20,0.2,0.16,0.2,0.3,0,0,0.07,0.22,0.08,0,0,0.19,0,0,0.17,0.41,0,,,,,2,5,2,0,GO0003674@GO0005758@GO0005739@GO0009102@GO0042493@GO0006826
3,20,0.12,0.11,0.14,0.09,0,0,0,0.12,0.17,0,0,0.11,0,0,0.2,0,0,,,,,4,5,4,0,GO0004842@GO0000175@GO0030015@GO0005737@GO0016567@GO0006368@GO0000289@GO0006357
3,20,0.1,0.1,0,0.05,0,0,0,0.07,0.38,0,0,0.11,0,0,0.34,0,0,1,1,1,,5,5,4,0,GO0031202@GO0005515@GO0005681@GO0000398
3,20,1.33,0.57,1.21,1.25,0,-0.12,0.06,1.09,0.11,1.1,0,0.26,0,0,0.12,0.5,0,,,,,,5,2,0,GO0004175@GO0019774@GO0006511
3,20,0.1,0.1,0.08,0.06,0,0,0,0.08,0.37,0,0,0.11,0,0,0.29,0,0,1,1,,,5,5,4,0,GO0016538@GO0005634@GO0005819@GO0005816@GO0005935@GO0005737@GO0000086@GO0000079
3,20,0.1,0.1,0.1,0.13,0,0,0,0.11,0.19,0,0,0.11,0,0,0.25,0,0,1,1,,,4,5,4,0,GO0016944@GO0008023@GO0006368
3,20,0.41,0.3,0.54,0.95,0,0,0.24,0.55,0.15,0,0,0.11,0,0,0.17,1.41,1,,,,,,5,2,0,GO0000297@GO0005774@GO0005886@GO0015846
3,20,0.37,0.46,0.84,0.69,0,0.26,0.12,0.59,0.27,1,0,0.24,0,0,0.22,0.55,0,,,,,,5,,0,GO0015926@GO0000137@GO0016021@GO0006078@GO0007047
3,20,0.16,0.1,0.25,0.18,0,-0.03,0,0.17,0.27,0.1,0,0.11,0,0,0.18,0,0,,1,,,,5,4,0,GO0003735@GO0005763@GO0005739@GO0006412
3,20,0.29,0.18,0.29,0.23,0,-0.06,-0.11,0.25,0.15,0.4,0,0.16,0,0,0.18,0.61,0,,,,,,5,,0,GO0004663@GO0005968@GO0018348
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005624@GO0045324
0,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0001401@GO0005741@GO0006461@GO0000002@GO0000001@GO0000723
0,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005737@GO0006400@GO0000226@GO0007117
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0005085@GO0005933@GO0031578@GO0007096@GO0042493@GO0016192
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005730@GO0030489@GO0042254@GO0042273
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0051082@GO0030176@GO0030433@GO0006457
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0005498@GO0008142@GO0005545@GO0005635@GO0005769@GO0005783@GO0000138@GO0030469@GO0006897@GO0015918@GO0006887
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0003714@GO0000417@GO0005634@GO0000775@GO0006336@GO0006368@GO0006357
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0008311@GO0008081@GO0003906@GO0005634@GO0006284
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0030122@GO0016192
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005575@GO0008150
0,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0016887@GO0051082@GO0005829@GO0006457@GO0006950@GO0006616
0,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005575@GO0008150
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0004672@GO0005634@GO0005739@GO0000729@GO0016310@GO0007004@GO0006974
0,21,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0008139@GO0005829@GO0007049@GO0006609
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0015505@GO0005886@GO0045121@GO0015857
0,20,0.1,0,0.1,0.1,0,0,0,0.07,0.09,0,0,0.33,0,0,0.02,0,0,1,1,1,1,5,5,5,1,GO0008157@GO0008599@GO0000164@GO0005628@GO0030476@GO0043666
